start.country,start.city,start.latitude,start.longitude,end.country,end.city,end.latitude,end.longitude,date,journey,number.of.letters
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,26-03-1865,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,07-01-1866,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,20-04-1866,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,23-07-1866,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,05-08-1866,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,17-03-1867,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,15-09-1867,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,02-02-1868,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,24-05-1868,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,20-09-1868,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,20-06-1869,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,13-03-1870,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,22-01-1871,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,21-04-1872,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,09-06-1872,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,26-01-1873,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,18-01-1874,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,26-04-1874,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,26-03-1876,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,06-08-1879,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,25-05-1880,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,28-01-1883,-90.155119 40.048103 -90.155119 40.048103,27
USA,Chandlerville,40.048103,-90.155119,GER,Lanzenhain,50.102536,8.399114,NA,-90.155119 40.048103 -90.155119 40.048103,27
USA,Hempstead,30.097441,-96.078292,USA,Industry,29.972446,-96.502193,03-04-1862,-96.078292 30.097441 -96.078292 30.097441,1
USA,Brenham,30.166883,-96.397744,USA,Industry,29.972446,-96.502193,21-05-1862,-96.397744 30.166883 -96.397744 30.166883,13
USA,Camp,31.968599,-99.901813,USA,Industry,29.972446,-96.502193,28-05-1862,-99.901813 31.968599 -99.901813 31.968599,5
USA,Camp,31.968599,-99.901813,USA,Industry,29.972446,-96.502193,14-06-1862,-99.901813 31.968599 -99.901813 31.968599,5
USA,Camp,31.968599,-99.901813,USA,Industry,29.972446,-96.502193,21-07-1862,-99.901813 31.968599 -99.901813 31.968599,5
USA,Camp,31.968599,-99.901813,USA,Industry,29.972446,-96.502193,28-07-1862,-99.901813 31.968599 -99.901813 31.968599,5
